Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Normality_p_value,Levene_p_value,Assumptions_Passed
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,USA,Leadership_Avg,0.0,0.0001384414279293643,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,USA,Status_Score,0.0,5.354412586721465e-08,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,USA,Warmth_Score,4.4321464656679935e-09,0.652750202539164,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Communal,China,Hireability_Score,3.317337834688198e-08,0.017413839020574598,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Communal,China,Competence_Score,7.61924012987585e-10,0.08306051737863462,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Communal,China,Fit_Score,1.4548684222093472e-07,0.04654564613630841,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Communal,China,Performance_Score,6.640075540820181e-08,0.018826325234661614,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Communal,China,Leadership_Avg,0.0,0.0002748727322940318,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Communal,China,Status_Score,6.640075540820181e-08,0.41104174275425875,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Communal,China,Warmth_Score,5.981489887632181e-10,1.3321464249992548e-05,False
